Num	MZ	True_MZ	1	L_MZ	D_MZ_Error_ppm	FoundInScans	D_MZ_Peak_Error_mean_ppm	D_MZ_Peak_Error_sd_ppm	D_MZ_Min_ppm	D_MZ_Max_ppm	Quant20_MZ_Diff_ppm	Quant80_MZ_Diff_ppm	RT	True_RT	0.496478873	negative = earlier	Shift	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	Area_N	Area_L	Fold	PeakRatio	LeftBorder_N	RightBorder_N	LeftBorder_L	RightBorder_L	Group_ID	Corr	Adducts	Hetero_Elements	ObservedIsoRatioMean_native_1	ObservedIsoRatioSD_native_1	TheoreticalIsoRatio_native_1	ObservedIsoRatioMean_labelled_1	ObservedIsoRatioSD_labelled_1	TheoreticalIsoRatio_labelled_1	Fg14N_15N01.Area	Fg14N_15N01.RT-Shift	Fg14N_15N01.MZ-Shift	Fg14N_15N01.MZ
161	412.7592446	411.2592446	1	415.247368	-0.039378568	15	0.003778087	0.670337886	-1.510682766	1.086499543	-0.382763592	0.418652663	18.85882666	19.017	1	1	0.247326098	4	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	220228.1445	93461.69456	2.356346582	2.344124491	11.5	11.5	10.5	10.5	87	0.976380373	-	-	-1	-1	0.004	0.06727	0.01192	0.07747				
871	411.25925												18.858828					4		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										87										220133.44	0.1581726	-0.07420521	411.25922
423	927.8129977	926.3129977	1	934.2913303	2.216710124	6	1.881231834	0.927353927	0.569413391	4.193386715	1.36009848	2.480235689	19.02849414	18.8575	1	1	0.575187983	8	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	33817.98956	353275.2439	0.095727029	0.106664702	11.5	11.5	13.5	13.5	85	0.941176662	-	-	-1	-1	0.00801	0.12429	0.02388	0.15494				
77	934.7952528	933.2952528	1	934.291695	-0.635058625	14	-0.334820187	1.363988235	-2.512556221	3.63480676	-1.466196565	0.404171321	19.0585845	18.88783333	1	1	0.575187983	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	46609.11454	353275.2439	0.131934279	-1	12.5	12.5	13.5	13.5	85	0.977261621	-	-	7.77057	0.90168	0.001	0.12869	0.01613	0.01937				
391	925.8585472	924.3585472	1	930.3393351	-1.537781204	5	-1.92709778	1.019132697	-3.335732273	-0.958661566	-2.596199164	-1.16995674	19.02849414	18.8575	1	1	0.575187983	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	47940.9029	39301.33414	1.219828893	-1	10.5	10.5	5.5	5.5	85	0.738084234	-	-	0.23867	-1	0.00601	-1	-1	0.11621				
130	927.813377	926.313377	1	928.3094561	2.169159649	5	2.359094506	0.823576174	1.064818849	3.898105924	1.750078979	3.146955397	19.02849414	18.8575	1	1	0.575187983	2	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	33817.98956	437027.4798	0.077381838	0.079933399	11.5	11.5	12.5	12.5	85	0.936222717	-	-	0.72129	-1	0.002	0.07281	-1	0.03874				
305	614.8907249	613.3907249	1	619.3727686	-0.270187	20	-0.028991633	0.68410019	-0.947147076	1.639970724	-0.608831671	0.306610012	19.09121641	19.813	1	-1	-0.308750581	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	117276.8849	60679.96197	1.932711905	1.88880648	13.5	13.5	13.5	13.5	96	0.974519296	-	-	-1	-1	0.00601	0.10165	0.01507	0.11621				
893	613.39075												19.091217					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										96										65600.734	0.23944855	0.19900905	613.39087
321	644.9014446	643.4014446	1	649.3833457	-0.47909622	19	-0.567784984	0.287456364	-0.902968491	0.045664074	-0.827077885	-0.3148163	19.13780203	19.60916667	0		-0.060419459	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	1395434.658	755724.5042	1.846485922	1.852315097	7	7	7	7	92	0.992501808	-	-	-1	-1	0.00601	0.10106	0.00774	0.11621				
63	649.8862857	648.3862857	1	649.3833629	0.065277136	16	0.111099502	0.34850753	-0.510184507	0.807690665	-0.152475532	0.431154901	19.13780203	19.60916667	0		-0.060419459	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	76513.9027	755724.5042	0.101245761	0.101262326	7	7	7	7	92	0.977347982	-	-	9.89515	0.75605	0.001	0.10106	0.00774	0.01937				
881	643.4014												19.137802					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										92										1395434.6	0.47136497	1.0434959	643.4021
883	648.3863												19.137802					1		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										92										76513.9	0.47136497	0.84720546	648.38684
447	346.7265515	345.2265515	1	357.1906826	-0.833384335	9	-0.831642936	0.430247366	-1.774562396	-0.360183206	-1.085052541	-0.430902166	19.14053095	19.55833333	0		-0.007361129	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	37821.1879	51006.69229	0.74149462	-1	13.5	15	7	7	91	0.537099462	-	-	0.09848	-1	0.01201	-1	-1	0.23242				
879	345.22656												19.140532					12		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										91										46911.23	0.4178009	-0.0883987	345.22653
445	315.7320611	314.2320611	1	325.2003501	2.880628402	6	2.885004711	0.311545248	2.210891781	3.570543283	2.638210825	3.084953461	19.20992156	19.64233333	0		-0.021134158	11	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	85295.98633	13358.8752	6.384967676	-1	15	15	13	15	93	0.502756846	-	-	-1	-1	0.01101	-1	-1	0.21305				
885	314.23206												19.20992					11		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										93										86600.38	0.4324131	0.2913539	314.23215
329	646.9169649	645.4169649	1	651.3991569	-0.02699991	5	0.49734166	0.677221006	-0.332746589	1.464026709	-0.332746589	1.085758646	19.32529016	19.79566667	0		-0.057525187	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	48609.26722	24479.31157	1.985728524	1.940582888	5	5	4.5	4.5	95	0.968688733	-	-	-1	-1	0.00601	-1	-1	0.11621				
891	645.417												19.32529					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										95										48609.266	0.47037506	0.37826806	645.41724
95	232.6587016	231.1587016	1	233.1532203	1.941763805	12	1.794170963	0.236753409	1.296557014	2.220697206	1.639809085	1.956657151	19.49634618	19.41883333	1	1	0.486605959	2	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	17426.06004	113634.4603	0.153351897	-1	6	6	15	15	90	0.543416179	-	-	-1	-1	0.002	-1	-1	0.03874				
877	231.1587												19.496346					2		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										90										23277.041	0.33415413	-1.3202003	231.1584
93	232.6157765	231.1157765	1	233.1102512	1.751808579	14	1.590596942	0.53939632	-0.287736746	2.155087382	1.349615642	1.970225016	19.78031105	20.74016667	1	-1	-0.536047388	2	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	47694.47442	51530.29067	0.925561913	2.622212376	12.5	12.5	13.5	13.5	100	0.830076565	-	-	0.02743	-1	0.002	0.09189	-1	0.03874				
322	644.9014446	643.4014446	1	649.3833457	-0.47909622	19	-0.368284681	0.182126346	-0.713241978	-0.144062439	-0.523515465	-0.238925695	19.85294219	19.93416667	1	1	0.333099746	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	201108.3722	106942.1697	1.880533869	1.847108214	5	5	5	5	97	0.927370338	-	-	-1	-1	0.00601	0.10306	0.01539	0.11621				
895	643.4014												19.852942					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										97										201108.38	0.08122635	-0.4743163	643.4011
214	551.822547	550.322547	1	555.3076112	-0.200453353	15	-0.194203676	0.524921176	-1.452768026	0.765391364	-0.56550427	0.210851517	20.34780285	20.688	0		0.082952917	5	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	190915.3016	83677.49035	2.281561036	2.424033974	11	11	12.5	12.5	99	0.967494307	-	-	-1	-1	0.00501	0.09255	0.01949	0.09684				
899	550.3226												20.347803					5		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										99										190804.73	0.3401966	-0.110907964	550.3225
317	628.9064261	627.4064261	1	633.3884838	-0.241652291	7	-0.250739288	1.075790582	-1.996087222	2.478870431	-0.809250627	0.221935267	20.65274282	20.5825	1	1	0.492079639	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	52847.99603	31686.29043	1.667850522	1.645243847	11.5	11.5	10.5	10.5	98	0.985139802	-	-	-1	-1	0.00601	0.08365	0.02117	0.11621				
897	627.40643												20.652742					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										98										2622.189	0.8322563	0.29184508	627.4066
133	179.5575676	178.0575676	1	181.0491567	2.720481958	29	2.709079187	0.236674104	2.053506172	3.424639275	2.636237741	2.739072723	20.77993233	22.021	1	-1	-0.79955298	3	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	524899.1103	1012540.71	0.518398031	0.505764345	10.5	10.5	11.5	11.5	101	0.996162501	-	-	-1	-1	0.003	-1	-1	0.0581				
309	626.8910301	625.3910301	1	631.3731085	-0.20955881	32	-0.270205229	0.359968406	-0.83137757	0.437359897	-0.538592001	-0.011577976	21.68408669	22.08666667	0		0.039906598	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	551178.3057	264062.6482	2.087301288	2.10530972	12.5	12.5	12.5	12.5	102	0.976555174	[M+H]+	-	-1	-1	0.00601	0.11552	0.01476	0.11621				
59	631.8759381	630.3759381	1	631.3731201	0.233239867	6	-0.031841643	0.844545852	-2.267582507	1.702177846	-0.621584312	0.714578929	21.66766713	22.07	0		0.039906598	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	31841.9051	264062.6482	0.120584662	0.111124259	11.5	11.5	12.5	12.5	102	0.975623606	-	-	8.65629	0.9925	0.001	0.11552	0.01476	0.01937				
336	658.9169221	657.4169221	1	663.3988088	-0.490872974	11	-0.480062159	0.76832597	-2.926217145	0.694576622	-0.976558963	0.100395081	21.68408669	22.08666667	0		0.039906598	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	107489.5921	53007.34785	2.027824377	2.080293293	13.5	13.5	12.5	12.5	102	0.966998322	[M+CH3OH+H]+	-	-1	-1	0.00601	0.12158	0.044	0.11621				
323	644.9014446	643.4014446	1	649.3833457	-0.47909622	11	-0.171963397	0.808068771	-1.282421517	1.468612921	-0.883995839	0.519980356	21.68408669	22.08666667	0		0.039906598	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	95995.69731	42459.95437	2.260852578	2.360795981	9	9	8	8	102	0.953878952	-	-	-1	-1	0.00601	0.15995	0.05252	0.11621				
905	625.39105												21.684086					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										102										550598.7	0.40258026	-0.09759519	625.391
907	630.3759												21.667667					1		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										102										31642.479	0.4023323	-0.19364685	630.3758
909	657.41693												21.684086					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										102										107249.65	0.40258026	0.092840865	657.417
911	643.4014												21.684086					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										102										96727.62	0.40258026	-0.66404283	643.401
296	596.8805337	595.3805337	1	601.3626477	-0.160217197	9	-0.377796732	0.576628417	-1.795914412	0.459405272	-0.647751664	0.131358773	22.31015106	23.1675	1	-1	-0.398428093	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	55281.386	42817.4481	1.291094833	-1	6	6	5.5	5.5	104	0.933363717	-	-	-1	-1	0.00601	0.12202	0.02644	0.11621				
915	595.38055												22.31015					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										104										13003.3	0.4423504	-0.30754358	595.3804
446	310.7056484	309.2056484	1	321.1692511	-2.638995776	10	-2.55373087	0.281934177	-2.968257024	-1.882593288	-2.711645595	-2.455034167	22.44664272	22.92583333	0		-0.023984418	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	34135.88209	77445.02574	0.440775657	-1	5	5	7	7	103	0.766540336	-	-	-1	-1	0.01201	-1	-1	0.23242				
913	309.20566												22.446642					12		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										103										40420.52	0.47919273	0.19739339	309.20572
310	626.8910301	625.3910301	1	631.3731085	-0.20955881	16	-0.271831816	0.209217218	-0.73378238	0.046979138	-0.460515849	-0.128692204	22.72353411	23.201	0		-0.018030139	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	235355.7732	353282.6807	0.666196749	0.67549592	7	7	8	8	105	0.992608722	[M+H]+	-	-1	-1	0.00601	0.10646	0.00661	0.11621				
60	631.8759381	630.3759381	1	631.3731201	0.233239867	8	0.145555118	0.554860198	-1.008878005	0.733943613	-0.350478727	0.695214244	22.72353411	23.201	0		-0.018030139	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	37834.99086	353282.6807	0.107095516	0.105373415	8	8	8	8	105	0.993159289	-	-	9.39352	0.56807	0.001	0.10646	0.00661	0.01937				
330	648.8729457	647.3729457	1	653.3549918	-0.252185701	10	-0.251964749	0.506838959	-1.368835411	0.799634252	-0.520303804	0.101952708	22.70745181	23.18466667	0		-0.018030139	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	78030.79155	119708.035	0.651842557	0.614227974	7	7	8	8	105	0.98213403	[M+Na]+	-	-1	-1	0.00601	0.10318	0.01552	0.11621				
299	608.8805849	607.3805849	1	613.3626371	-0.258749134	6	-0.420577154	1.392015494	-3.267769623	1.555709383	-1.016812754	0.912578849	22.70745181	23.18466667	0		-0.018030139	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	29616.51809	38797.44274	0.763362634	0.729163399	8	8	7	7	105	0.93147419	-	-	-1	-1	0.00601	0.13003	0.04141	0.11621				
917	625.39105												22.723534					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										105										235355.72	0.47746658	-0.09759519	625.391
919	630.3759												22.723534					1		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										105										37929.76	0.47746658	-0.096823424	630.37585
921	647.3729												22.70745					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										105										78018.266	0.4772148	-0.2828439	647.37274
923	607.3806												22.70745					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										105										29616.518	0.4772148	-0.40195656	607.3804
92	218.6431414	217.1431414	1	219.137631	1.933418653	7	1.877994039	0.306917772	1.380243622	2.434303329	1.605109693	2.068895964	22.83062242	23.37366667	0		-0.080957738	2	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	25659.27971	26817.59644	0.956807586	-1	5.5	5.5	10.5	10.5	106	0.812220626	-	-	-1	-1	0.002	-1	-1	0.03874				
925	217.14314												22.830622					2		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										106										310099.72	-0.061286926	-0.2810826	217.14308
429	343.7397087	342.2397087	1	351.2135042	1.406687149	5	1.519825732	0.487101063	0.842132326	2.53636584	1.145310955	1.912174545	23.67617029	24.58583333	1	-1	-0.429584168	9	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	31175.56848	92580.16911	0.336741321	0.249048354	7	7	4.5	4.5	109	0.646451941	-	-	-1	-1	0.00901	-1	-1	0.17431				
933	342.23972												23.67617					9		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										109										31175.568	0.90966415	-0.35668072	342.2396
306	618.8624798	617.3624798	1	623.3445053	-0.297830215	7	-0.281957837	0.568410457	-1.237646804	0.739640713	-0.842189301	0.047590082	23.74188182	23.6135	1	1	0.594133042	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	41892.24508	58026.94296	0.72194472	-1	6	6	7	7	107	0.981444962	[M+Na]+	-	-1	-1	0.00601	0.09939	0.01052	0.11621				
297	596.8805337	595.3805337	1	601.3626477	-0.160217197	11	0.093281947	1.09161252	-0.873283632	3.637355737	-0.565740039	0.377393647	23.72546889	23.59683333	1	1	0.594133042	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	82943.86583	111371.807	0.744747419	0.753527144	6.5	6.5	7	7	107	0.987615697	[M+H]+	-	-1	-1	0.00601	0.10563	0.01694	0.11621				
335	654.922209	653.422209	1	659.404522	0.158506703	5	0.091668004	0.662146674	-1.636388336	1.165865188	-0.179216504	0.549369412	24.050253	23.81933333	1	1	0.699789019	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	61308.74919	34648.29062	1.769459563	1.850984385	10.5	10.5	9.5	9.5	108	0.957176009	-	-	-1	-1	0.00601	0.13007	0.03284	0.11621				
307	618.8624798	617.3624798	1	623.3445053	-0.297830215	5	-0.63786959	0.611007083	-1.633104308	0.937369465	-1.158555303	-0.367640296	24.4020812	24.94466667	0		-0.057587655	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	41994.98959	32955.61621	1.274289315	1.270113042	9	9	9	9	111	0.935192338	[M+CH3FeN]+	-	-1	-1	0.00601	0.13005	0.04711	0.11621				
289	578.8697858	577.3697858	1	583.3518923	-0.178321074	5	-0.104158374	1.218747991	-2.697636367	1.953710034	-1.006237676	0.812015917	24.41869044	24.9615	0		-0.057587655	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	36576.05399	26708.18574	1.369469808	1.408757262	8	8	7.5	7.5	111	0.960155515	[M+2Na-H]+	-	-1	-1	0.00601	0.08774	-1	0.11621				
937	617.3625												24.40208					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										111										41767.848	0.5425873	0.49432185	617.3628
939	577.3698												24.41869					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										111										36348.004	0.54280853	0.21142483	577.36993
311	626.8910301	625.3910301	1	631.3731085	-0.20955881	5	-0.72293847	0.81711578	-1.904924657	0.827740656	-1.319353519	-0.187249318	24.53511094	24.928	0		0.091886246	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	36373.43742	17569.82229	2.070222272	1.999922994	4.5	4.5	4	4	110	0.700502546	-	-	-1	-1	0.00601	0.14742	0.01969	0.11621				
935	625.39105												24.53511					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										110										35142.523	0.39289093	-0.09759519	625.391
293	590.869679	589.369679	1	595.3517987	-0.152167991	14	-0.492316917	0.94750004	-2.746271051	1.085450977	-0.965038108	0.049850429	24.864043	25.31416667	0		0.039635982	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	117052.0587	132238.2416	0.885160429	0.837023269	10.5	10.5	9.5	9.5	112	0.952773672	-	-	-1	-1	0.00601	0.10172	0.02492	0.11621				
234	333.6725494	332.1725494	1	335.1635722	-0.24643698	11	0.284843393	1.33241047	-1.333865508	3.351640526	-0.966374838	1.238569177	24.83227706	25.282	0		0.039635982	6	2	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	43032.152	45774.06107	0.940099065	0.902440446	10.5	10.5	11	11	112	0.884513243	-	-	0.21221	0.04296	0.00601	0.16257	0.10053	0.11621				
236	347.738826	346.238826	1	349.2298152	-0.333577841	19	-0.418305306	0.509755158	-1.896657751	0.571269365	-0.8037186	-0.080968516	24.83227706	25.282	0		0.039635982	6	2	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	255227.321	308550.7465	0.827181019	0.859778137	11	11	10.5	10.5	112	0.978686033	[M+H+NH4]++	-	0.11199	0.02277	0.00601	0.08291	0.01548	0.11621				
238	349.6857226	348.1857226	1	351.176711	-0.333906856	14	-0.504562312	0.569887798	-2.061347329	0.831017328	-0.746636122	-0.220751638	24.83227706	25.282	0		0.039635982	6	2	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	145394.7822	164652.2537	0.883041555	0.83751374	10.5	10.5	10.5	10.5	112	0.939735103	-	-	0.07526	-1	0.00601	0.08808	0.02823	0.11621				
240	350.216476	348.716476	1	351.7074482	-0.380058326	21	-0.367598308	0.222940456	-0.657985714	0.129640401	-0.552968899	-0.22041565	24.84807739	25.298	0		0.039635982	6	2	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	477001.322	554729.1941	0.859881411	0.872273787	10.5	10.5	10.5	10.5	112	0.989809626	[M+H+Na]++,[M+H+NH4]++	-	0.11874	0.02338	0.00601	0.08913	0.01198	0.11621				
242	352.6940227	351.1940227	1	354.1850456	-0.232779019	11	-0.56644723	1.202879956	-4.824382251	0.650105633	-0.740240496	0.128725835	24.83227706	25.282	0		0.039635982	6	2	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	110580.5619	123316.0449	0.89672485	0.91182264	10.5	10.5	10.5	10.5	112	0.959363158	[M+H+Na]++	-	0.10687	0.0288	0.00601	0.09652	0.01611	0.11621				
243	361.6687992	360.1687992	1	363.1597789	-0.347005627	7	-0.208947528	0.860795812	-2.331690096	1.396488027	-0.806526318	0.532228553	24.864043	25.31416667	0		0.039635982	6	2	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	42004.84449	48283.5108	0.869962515	0.930162166	10.5	10.5	11	11	112	0.929177589	-	34S4 (scans: 18, obs: 51.2%, exp: 17.7%), 37Cl2 (scans: 20, obs: 49.8%, exp: 64.0%), 41K1 (scans: 15, obs: 50.0%, exp: 7.5%)	-1	-1	0.00601	0.1605	0.03154	0.11621				
300	608.8805849	607.3805849	1	613.3626371	-0.258749134	28	-0.311273171	0.244665335	-0.956519266	0.249350486	-0.35358439	-0.212899586	24.864043	25.31416667	0		0.039635982	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	514919.3361	581991.9754	0.884753326	0.90577673	9.5	9.5	9.5	9.5	112	0.993958175	[M+H]+	-	-1	-1	0.00601	0.10406	0.01102	0.11621				
58	613.86542	612.36542	1	613.362645	0.310485853	12	0.087733313	0.758483583	-2.134932991	1.154214454	-0.261115659	0.576121873	24.83227706	25.282	0		0.039635982	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	61292.06937	581991.9754	0.105314286	0.101908752	10	10	9.5	9.5	112	0.971492839	-	-	9.60789	1.01207	0.001	0.10408	0.01075	0.01937				
312	626.8910301	625.3910301	1	631.3731085	-0.20955881	23	-0.310869891	0.268263517	-0.73378238	0.242169517	-0.597149115	-0.089654128	24.864043	25.31416667	0		0.039635982	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	333931.4031	401277.3197	0.832171136	0.860420036	9	9	9	9	112	0.995258405	[M+H]+	-	-1	-1	0.00601	0.10709	0.01077	0.11621				
61	631.8759381	630.3759381	1	631.3731201	0.233239867	9	-0.239669698	0.832576492	-1.686641967	1.411707576	-1.163795482	0.404743974	24.864043	25.31416667	0		0.039635982	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	46173.01516	401277.3197	0.115065101	0.116686455	9	9	9	9	112	0.984745796	-	-	9.33828	1.11263	0.001	0.10709	0.01077	0.01937				
318	640.9064475	639.4064475	1	645.3885849	-0.112512472	16	-0.290419239	0.669566331	-2.435905577	0.523229182	-0.622242338	0.141405342	24.864043	25.31416667	0		0.039635982	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	139640.5175	152905.5348	0.913246978	0.921521513	10.5	10.5	10.5	10.5	112	0.990453101	[M+2Na-H]+,[M+CH3OH+H]+	-	0.11035	0.02414	0.00601	0.10831	0.01934	0.11621				
340	680.8989745	679.3989745	1	685.3810581	-0.185228716	21	-0.239741915	0.30895957	-1.034799242	0.222918564	-0.495777325	0.043244592	24.84807739	25.298	0		0.039635982	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	348651.9787	397899.7163	0.87623078	0.89179789	9.5	9.5	9.5	9.5	112	0.990230431	[M+CH3FeN]+,[M+CH3OH+H]+	-	-1	-1	0.00601	0.10965	0.01784	0.11621				
65	685.8838251	684.3838251	1	685.3810238	0.239416529	10	0.032970962	0.826326203	-1.731906544	1.389485854	-0.51902264	0.622515151	24.84807739	25.298	0		0.039635982	1	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	44167.48033	397899.7163	0.111001538	0.10279706	10.5	10.5	9.5	9.5	112	0.935284439	-	-	9.11992	1.61277	0.001	0.10965	0.01784	0.01937				
331	648.8729457	647.3729457	1	653.3549918	-0.252185701	10	-0.483638858	0.870444849	-2.217367019	1.271040701	-1.180272832	0.101952708	24.84807739	25.298	0		0.039635982	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	46278.2362	51921.12337	0.891318084	0.915309868	9.5	9.5	9.5	9.5	112	0.92252043	[M+H]+,[M+Na]+	-	-1	-1	0.00601	0.11498	0.03186	0.11621				
941	589.3697												24.864042					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										117497.99	0.45012474	0.4142402	589.36993
943	332.17255												24.832277					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										42300.36	0.4497242	-0.18374534	332.1725
945	346.23883												24.832277					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										255089.88	0.4497242	-0.61698174	346.23862
947	348.18573												24.832277					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										145377.36	0.4497242	-0.17529482	348.18567
949	348.71646												24.848078					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										476004.44	0.44992256	-0.08751402	348.71643
951	351.19403												24.832277					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										110352.74	0.4497242	-0.52137977	351.19385
953	360.1688												24.864042					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										41667.44	0.45012474	-0.084731326	360.16876
955	607.3806												24.864042					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										514244.2	0.45012474	0.30146742	607.3808
957	612.3654												24.832277					1		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										61057.08	0.4497242	-0.69769794	612.365
959	625.39105												24.864042					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										333930.62	0.45012474	0.19519038	625.3912
961	630.3759												24.864042					1		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										45949.246	0.45012474	0.677764	630.37634
963	639.40643												24.864042					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										139323.98	0.45012474	0.0	639.40643
965	679.399												24.848078					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										348087.62	0.44992256	-0.26951095	679.3988
967	684.38385												24.848078					1		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										43790.965	0.44992256	-0.17836528	684.3837
969	647.3729												24.848078					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										112										46085.168	0.44992256	-0.09428129	647.37286
301	608.8805849	607.3805849	1	613.3626371	-0.258749134	20	-0.142028293	0.587663464	-1.35847585	1.153752799	-0.534464853	0.209154827	25.41635134	25.93983333	0		-0.026537837	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	61902.89091	88622.23469	0.698502934	0.751782048	9	9	9.5	9.5	114	0.973325789	-	-	-1	-1	0.00601	0.10541	0.0242	0.11621				
