Num	MZ	True_MZ	0.806612601	L_MZ	D_MZ_Error_ppm	FoundInScans	D_MZ_Peak_Error_mean_ppm	D_MZ_Peak_Error_sd_ppm	D_MZ_Min_ppm	D_MZ_Max_ppm	Quant20_MZ_Diff_ppm	Quant80_MZ_Diff_ppm	RT	True_RT	0.106051154	negative = earlier	Shift	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	Area_N	Area_L	Fold	PeakRatio	LeftBorder_N	RightBorder_N	LeftBorder_L	RightBorder_L	Group_ID	Corr	Adducts	Hetero_Elements	ObservedIsoRatioMean_native_1	ObservedIsoRatioSD_native_1	TheoreticalIsoRatio_native_1	ObservedIsoRatioMean_labelled_1	ObservedIsoRatioSD_labelled_1	TheoreticalIsoRatio_labelled_1	CM12C_13CFg1.Area	CM12C_13CFg1.RT-Shift	CM12C_13CFg1.MZ-Shift	CM12C_13CFg1.MZ
46	216.5544293	215.0544293	1	223.0812895	0.280105833	10	0.414443189	0.871509702	-1.799712445	3.237961166	-0.025883709	0.641075896	3.496162016	3.68955	0		0.003282127	8	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	46530.66415	321123.3757	0.144899648	0.143080159	17	17	17	17	7	0.96061243	-	41K1 (scans: 21, obs: 8.3%, exp: 7.5%)	0.09619	0.03257	0.08653	0.06601	0.01144	0.11359				
50	250.0914446	250.0914446	0	258.1182571	0.04967383	34	0.228971854	0.421091229	-0.449347357	1.625089171	-0.144283162	0.526858068	3.578672756	3.776116667	0		0.003282127	8	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	116129.1782	424540.5846	0.273540817	0.275667341	17	17	17	17	7	0.989779977	[M+NH4]+	-	0.06465	0.01438	0.08653	0.06838	0.01013	0.11359	123321.58	0.19744396	0.30506417	250.09152
52	279.6226526	278.1226526	1	286.1494734	0.074668495	31	0.07973765	0.604850642	-1.227011761	1.735618581	-0.239468313	0.418893985	3.578672756	3.776116667	0		0.003282127	8	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	54600.64253	173530.9499	0.314644981	0.288061623	16	17	17	17	7	0.956657042	-	-	0.11321	0.02883	0.08653	0.07478	0.01786	0.11359				
53	307.6538203	306.1538203	1	314.1806387	0.060071111	38	0.431891011	0.855769574	-0.41690389	3.669998248	-0.11786227	0.579901509	3.56233928	3.758983333	0		0.003282127	8	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	50714.73453	152289.4907	0.333015327	0.303534719	17	17	17	17	7	0.977507636	-	-	0.12809	0.03787	0.08653	0.07693	0.0157	0.11359				
2770	233.0649												3.496162					8		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										7										46913.527	0.19338799	-0.26188052	233.06483
2772	268.10196												3.479772					8		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										7										155500.5	0.19257808	-0.11382826	268.10193
2774	215.05443												3.496162					8		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										7										48741.68	0.19338799	-0.14190629	215.0544
2778	278.12265												3.5786726					8		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										7										57321.285	0.19744396	0.43890822	278.12277
2780	306.1538												3.5623393					8		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										7										54520.42	0.19664407	0.39872217	306.15393
218	315.6436661	314.1436661	1	325.1805274	0.035881672	10	0.15951812	0.190284162	-0.048650362	0.534221389	0.04849493	0.301072689	3.570435579	3.776116667	0		-0.00495505	11	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	6093.400426	12152.14106	0.501426078	-1	3	3	4	4	8	0.898050163	-	-	0.10617	0.01417	0.11897	0.14406	0.02138	0.15619				
