30.29	51	1123
30.28	51	1260
30.16	51	1360
30.16	51	1094
30.150000000000002	51	1121
30.15	51	1242
30.15	51	1042
30.15	51	1027
30.13	51	996
30.1	51	1091
30.05	51	998
30.02	51	1935
30.02	51	1611
30.02	51	995
30.0	51	1789
30.0	51	1217
29.99	51	1852
29.98	51	1923
29.98	51	1276
29.979999999999997	51	1265
29.975	51	927
29.97	51	1185
29.97	51	1053
29.95	51	1143
29.945	51	1093
29.93	51	1538
29.92	51	1948
29.92	51	564
29.91	51	1350
29.895	51	941
29.88	51	1821
29.88	51	1478
29.87	51	928
29.86	51	1277
29.86	51	1241
29.86	51	272
29.85	51	1748
29.85	51	1157
29.831428571428575	51	608
29.83	51	1933
29.83	51	1749
29.83	51	1118
29.825	51	632
29.81	51	154
29.775000000000002	51	1150
29.76	51	1692
29.76	51	1236
29.74	51	1151
29.736666666666668	51	862
29.72	51	1226
29.69	51	1187
29.67	51	1041
29.66	51	1039
29.62	51	1153
29.62	51	934
29.613333333333333	51	1204
29.6	51	1193
29.59	51	1786
29.57	51	1240
29.51	51	1281
29.5	51	1194
29.48	51	1124
29.47	51	1108
29.450000000000003	51	1211
29.45	51	1359
29.45	51	931
29.44	51	1996
29.44	51	1214
29.435000000000002	51	1485
29.43	51	1090
29.43	51	1031
29.42	51	1245
29.41	51	1347
29.39	51	1142
29.38	51	1998
29.3775	51	342
29.363	51	211
29.36	51	1940
29.36	51	1508
29.34	51	1259
29.33	51	1537
29.33	51	1107
29.32	51	1171
29.3	51	1156
29.291666666666668	51	1205
29.28	51	1424
29.25	51	1496
29.21	51	1355
29.2	51	1488
29.19	51	1451
29.19	51	1237
29.19	51	1169
29.19	51	1152
29.19	51	1138
29.19	51	1030
29.17	51	1823
29.16	51	1610
29.14833333333333	51	1023
29.14	51	1484
29.13	51	1283
29.13	51	1244
29.13	51	1186
29.115000000000002	51	1092
29.11	51	1298
29.11	51	1135
29.1	51	1497
29.07555555555555	51	848
29.07	51	1325
29.05	51	845
29.04	51	1483
29.009999999999998	51	1487
29.0	51	1542
28.95	51	1851
28.87	51	1231
28.87	51	1101
28.836666666666662	51	929
28.82	51	1198
28.799999999999997	51	1263
28.78	51	1229
28.775	51	1180
28.765	51	1249
28.75	51	1307
28.74	51	1986
28.74	51	1149
28.705	51	1122
28.689999999999998	51	1147
28.67	51	1547
28.65	51	1425
28.64333333333333	51	1148
28.6	51	1352
28.6	51	1191
28.536	51	1100
28.51	51	1495
28.51	51	1192
28.5	51	1351
28.5	51	1207
28.4875	51	1144
28.48	51	1365
28.47	51	1490
28.47	51	1354
28.46	51	1348
28.450000000000003	51	1188
28.44	51	1480
28.44	51	1479
28.44	51	1358
28.43	51	1016
28.41	51	1452
28.403636363636362	51	847
28.396666666666665	51	1314
28.39	51	1189
28.39	51	1040
28.340000000000003	51	311
28.33	51	843
28.33	51	249
28.32	51	1421
28.3	51	1627
28.29	51	595
28.282	51	1248
28.25	51	255
28.23	51	1430
28.23	51	1317
28.22	51	1313
28.218750000000007	51	271
28.2	51	1481
28.2	51	1363
28.2	51	1323
28.19	51	587
28.185000000000002	51	1146
28.175	51	1441
28.16	51	1170
28.15	51	611
28.13	51	1228
28.13	51	1173
28.125	51	573
28.12	51	1362
28.12	51	1213
28.11	51	229
28.1	51	1482
28.08	51	1987
28.07	51	586
28.06	51	1353
28.05	51	1541
28.04	51	1230
28.034999999999997	51	1137
28.0175	51	683
28.01	51	1176
28.005000000000003	51	1264
27.98	51	1349
27.950000000000003	51	1140
27.89	51	1822
